species,CP
Gypohierax_angolensis_2n1m,0
Polyboroides_typus_2n1m,0
Eutriorchis_astur_0n1m,0
Gypaetus_barbatus_1n1m,0
Neophron_percnopterus_2n2m,0
Leptodon_cayanensis_2n1m_p,1
Chondrohierax_uncinatus_1n1m_p,1
Elanoides_forficatus_2n4m,0
Pernis_apivorus_1n3m_p,1
Pernis_ptilorhynchus_0n1m_p,1
Henicopernis_longicauda_0n1m,0
Aviceda_cuculoides_0n1m,0
Accipiter_trivirgatus_0n1m,0
Hamirostra_melanosternon_2n1m,0
Lophoictinia_isura_1n1m,0
Aviceda_subcristata_1n0m,0
Pithecophaga_jefferyi_1n1m,0
Terathopius_ecaudatus_2n1m_p,1
Circaetus_gallicus_1n3m_p,1
Circaetus_cinereus_1n1m,0
Circaetus_pectoralis_2n1m,0
Circaetus_cinerascens_0n1m,0
Circaetus_fasciolatus_1n1m,0
Spilornis_elgini_0n1m,0
Dryotriorchis_spectabilis_0n1m,0
Spilornis_holospilus_0n1m,0
Spilornis_cheela_1n3m,0
Spilornis_rufipectus_0n1m,0
Sarcogyps_calvus_2n1m,0
Trigonoceps_occipitalis_1n1m,0
Torgos_tracheliotus_2n1m,0
Aegypius_monachus_2n2m,0
Necrosyrtes_monachus_2n1m,0
Gyps_coprotheres_2n1m,0
Gyps_tenuirostris_0n1m,0
Gyps_himalayensis_1n1m,0
Gyps_rueppellii_2n1m,0
Gyps_fulvus_1n3m,0
Gyps_indicus_1n1m,0
Gyps_bengalensis_2n1m,0
Gyps_africanus_2n1m,0
Harpagus_bidentatus_1n0m,0
Accipiter_soloensis_0n1m,0
Accipiter_virgatus_0n1m,0
Accipiter_gularis_0n2m,0
Accipiter_cirrocephalus_1n1m,0
Accipiter_gentilis_2n5m_p,1
Accipiter_bicolor_1n2m_p,1
Accipiter_cooperii_1n2m,0
Circus_buffoni_0n1m_p,1
Circus_cyaneus_0n2m,0
Circus_cinereus_0n1m,0
Circus_ranivorus_1n1m,0
Circus_aeruginosus_2n3m_p,1
Accipiter_tachiro_1n0m_p,1
Accipiter_imitator_1n0m_p,1
Accipiter_novaehollandiae_1n0m_p,1
Accipiter_striatus_0n2m,0
Accipiter_erythronemius_0n1m,0
Accipiter_nisus_2n3m,0
Accipiter_rufiventris_1n1m,0
Kaupifalco_monogrammicus_1n2m,0
Micronisus_gabar_1n1m_p,1
Melierax_canorus_2n1m,0
Melierax_poliopterus_0n1m,0
Urotriorchis_macrourus_0n1m_p,1
Accipiter_superciliosus_0n2m_p,1
Ictinia_mississippiensis_0n5m,0
Ictinia_plumbea_2n5m,0
Busarellus_nigricollis_1n5m,0
Geranospiza_caerulescens_2n5m,0
Rostrhamus_sociabilis_2n5m,0
Buteo_albicaudatus_1n5m_p,1
Geranoaetus_melanoleucus_2n5m,0
Buteo_polyosoma_1n5m_p,1
Leucopternis_semiplumbeus_1n4m,0
Leucopternis_melanops_1n4m,0
Leucopternis_kuhli_1n4m,0
Buteo_solitarius_0n4m_p,1
Buteo_albigula_1n4m,0
Buteo_brachyurus_0n5m_p,1
Buteo_swainsoni_1n5m_p,1
Buteo_galapagoensis_0n5m,0
Buteo_ventralis_0n1m_p,1
Buteo_jamaicensis_2n5m_p,1
Buteo_albonotatus_0n5m,0
Buteo_auguralis_0n1m,0
Buteo_augur_0n4m_p,1
Buteo_rufofuscus_1n4m_p,1
Buteo_oreophilus_1n1m,0
Buteo_buteo_1n5m_p,1
Buteo_brachypterus_0n1m,0
Buteo_rufinus_1n4m_p,1
Buteo_hemilasius_0n4m_p,1
Buteo_refectus_0n3m,0
Buteo_japonicus_1n4m,0
Buteo_regalis_1n5m_p,1
Buteo_lagopus_1n5m_p,1
Buteo_platypterus_1n5m_p,1
Buteo_nitidus_2n5m,0
Buteo_ridgwayi_0n4m,0
Buteo_lineatus_1n5m,0
Leucopternis_polionotus_1n4m,0
Leucopternis_occidentalis_1n4m,0
Leucopternis_albicollis_1n4m,0
Buteo_magnirostris_2n5m,0
Buteo_leucorrhous_0n5m_p,1
Parabuteo_unicinctus_1n5m,0
Leucopternis_princeps_1n4m,0
Leucopternis_plumbeus_1n4m,0
Buteogallus_urubitinga_1n5m,0
Harpyhaliaetus_coronatus_0n4m,0
Harpyhaliaetus_solitarius_2n4m,0
Buteogallus_meridionalis_2n5m,0
Leucopternis_lacernulatus_0n4m,0
Leucopternis_schistaceus_1n4m,0
Buteogallus_aequinoctialis_0n4m,0
Buteogallus_anthracinus_2n5m,0
Butastur_teesa_1n1m,0
Butastur_indicus_0n2m,0
Butastur_rufipennis_1n1m,0
Milvus_migrans_0n3m,0
Milvus_milvus_1n1m,0
Haliastur_sphenurus_1n1m,0
Haliastur_indus_2n1m,0
Haliaeetus_vociferoides_1n1m,0
Haliaeetus_vocifer_1n1m,0
Ichthyophaga_humilis_0n1m,0
Ichthyophaga_ichthyaetus_0n1m,0
Haliaeetus_leucoryphus_0n1m,0
Haliaeetus_pelagicus_0n3m_p,1
Haliaeetus_leucocephalus_2n5m,0
Haliaeetus_albicilla_1n4m,0
Haliaeetus_sanfordi_0n1m,0
Haliaeetus_leucogaster_1n2m,0
Macheiramphus_alcinus_1n0m_p,1
Harpyopsis_novaeguineae_2n1m,0
Harpia_harpyja_2n1m,0
Pernis_celebensis_0n1m,0
Morphnus_guianensis_2n1m_p,1
Stephanoaetus_coronatus_2n1m,0
Polemaetus_bellicosus_2n1m,0
Aquila_nipalensis_2n2m,0
Aquila_rapax_2n1m_p,1
Aquila_adalberti_1n1m,0
Aquila_heliaca_2n2m,0
Aquila_chrysaetos_2n4m,0
Aquila_verreauxii_2n1m,0
Aquila_fasciata_2n3m,0
Aquila_spilogaster_1n1m,0
Aquila_audax_1n1m,0
Aquila_gurneyi_0n1m,0
Aquila_africana_0n1m,0
Hieraaetus_ayresii_1n1m_p,1
Hieraaetus_morphnoides_2n1m_p,1
Hieraaetus_pennatus_2n1m_p,1
Hieraaetus_wahlbergi_2n1m_p,1
Lophaetus_occipitalis_2n1m,0
Ictinaetus_malayensis_1n1m,0
Aquila_clanga_1n2m_p,1
Aquila_pomarina_1n1m_p,1
Lophotriorchis_kienerii_0n1m,0
Spizaetus_ornatus_2n1m,0
Spizaetus_isidori_2n1m,0
Spizaetus_melanoleucus_2n1m,0
Spizaetus_tyrannus_2n1m,0
Nisaetus_lanceolatus_0n1m,0
Nisaetus_philippensis_1n1m,0
Nisaetus_pinskeri_0n1m,0
Nisaetus_cirrhatus_1n1m_p,1
Nisaetus_kelaarti_0n1m,0
Nisaetus_nipalensis_2n4m,0
Nisaetus_bartelsi_0n1m,0
Nisaetus_alboniger_0n4m,0
Nisaetus_nanus_0n1m,0
Elanus_leucurus_1n2m,0
Gampsonyx_swainsonii_1n2m,0
Elanus_caeruleus_1n0m,0
