Scientific,TipLabel,English,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Nothoprocta perdicaria,Nothoprocta_perdicaria,Chilean Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Rhynchotus maculicollis,Rhynchotus_maculicollis,Huayco Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Rhynchotus rufescens,Rhynchotus_rufescens,Red-winged Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothocercus bonapartei,Nothocercus_bonapartei,Highland Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothocercus julius,Nothocercus_julius,Tawny-breasted Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothocercus nigrocapillus,Nothocercus_nigrocapillus,Hooded Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothoprocta cinerascens,Nothoprocta_cinerascens,Brushland Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothoprocta curvirostris,Nothoprocta_curvirostris,Curve-billed Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothoprocta pentlandii,Nothoprocta_pentlandii,Andean Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothoprocta taczanowskii,Nothoprocta_taczanowskii,Taczanowski's Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothura boraquira,Nothura_boraquira,White-bellied Nothura,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothura chacoensis,Nothura_chacoensis,Chaco Nothura,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothura darwinii,Nothura_darwinii,Darwin's Nothura,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothura minor,Nothura_minor,Lesser Nothura,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothura maculosa,Nothura_maculosa,Spotted Nothura,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothoprocta ornata,Nothoprocta_ornata,Ornate Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
