generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Canis_adustus,Otarocyon_cooki,0,0.032,0,0.032,0
10000,Canis_adustus,Otarocyon_cooki,0,0.380056,0,0.348178,0
20000,Canis_adustus,Otarocyon_cooki,0,0.327217,0,0.334759,0
20000,Desmocyon_thomsoni,NA,21.2235,0.234639,0,0.363789,0
20000,Leptocyon_vulpinus,NA,18.3084,0.740668,0,0.222454,0
20000,Canis_adustus,Cerdocyon_texanus,30.5644,0.646142,0,0.673444,0
30000,Canis_adustus,Otarocyon_cooki,0,0.333304,0,0.324671,0
30000,Canis_mosbachensis,NA,38.0225,0.542349,0,0.846999,0
40000,Canis_adustus,Otarocyon_cooki,0,0.379758,0,0.375823,0
50000,Canis_adustus,Otarocyon_cooki,0,0.348087,0,0.322617,0
60000,Canis_adustus,Otarocyon_cooki,0,0.347348,0,0.338722,0
70000,Canis_adustus,Otarocyon_cooki,0,0.326706,0,0.411808,0
70000,Phlaocyon_latidens,NA,16.4691,0.324658,0,0.155219,0
80000,Canis_adustus,Otarocyon_cooki,0,0.37223,0,0.388196,0
90000,Canis_adustus,Otarocyon_cooki,0,0.346301,0,0.321597,0
100000,Canis_adustus,Otarocyon_cooki,0,0.331794,0,0.301579,0
100000,Canis_adustus,Urocyon_cinereoargenteus,25.9372,0.633074,0,0.438731,0
110000,Canis_adustus,Otarocyon_cooki,0,0.344115,0,0.345865,0
120000,Canis_adustus,Otarocyon_cooki,0,0.386302,0,0.347777,0
130000,Canis_adustus,Otarocyon_cooki,0,0.29797,0,0.349791,0
130000,Cynarctoides_emryi,Cynarctoides_gawanae,19.5773,0.303514,0,0.54653,0
140000,Canis_adustus,Otarocyon_cooki,0,0.352879,0,0.322736,0
150000,Canis_adustus,Otarocyon_cooki,0,0.338111,0,0.416763,0
160000,Canis_adustus,Otarocyon_cooki,0,0.335413,0,0.345928,0
160000,Desmocyon_matthewi,NA,22.0624,0.0247448,0,0.397147,0
160000,Aelurodon_taxoides,NA,27.1493,0.272868,0,0.748416,0
170000,Canis_adustus,Otarocyon_cooki,0,0.355051,0,0.344852,0
170000,Canis_arnensis,NA,35.6733,0.0607224,0,0.0990455,0
180000,Canis_adustus,Otarocyon_cooki,0,0.314666,0,0.334608,0
190000,Canis_adustus,Otarocyon_cooki,0,0.317472,0,0.328243,0
190000,Osbornodon_fricki,NA,24.4552,0.96052,0,0.209577,0
190000,Phlaocyon_leucosteus,Phlaocyon_marshlandensis,19.9875,0.285094,0,0.254128,0
190000,Canis_adustus,Cerdocyon_texanus,30.6249,0.633598,0,0.507613,0
200000,Canis_adustus,Otarocyon_cooki,0,0.391775,0,0.392632,0
210000,Canis_adustus,Otarocyon_cooki,0,0.331124,0,0.349114,0
220000,Canis_adustus,Otarocyon_cooki,0,0.364489,0,0.342856,0
230000,Canis_adustus,Otarocyon_cooki,0,0.35811,0,0.324172,0
240000,Canis_adustus,Otarocyon_cooki,0,0.353375,0,0.367464,0
250000,Canis_adustus,Otarocyon_cooki,0,0.361609,0,0.313698,0
260000,Canis_adustus,Otarocyon_cooki,0,0.33343,0,0.346019,0
260000,Phlaocyon_annectens,NA,16.85,0.139931,0,0.658527,0
260000,Canis_adustus,Cerdocyon_texanus,30.6905,0.504304,0,0.455461,0
270000,Canis_adustus,Otarocyon_cooki,0,0.319246,0,0.383666,0
280000,Canis_adustus,Otarocyon_cooki,0,0.28521,0,0.329844,0
280000,Canis_aureus,NA,38.0537,0.199679,0,0.764452,0
280000,Canis_adustus,Cerdocyon_texanus,31.6721,0.633001,0,0.695063,0
290000,Canis_adustus,Otarocyon_cooki,0,0.297868,0,0.322096,0
290000,Metalopex_macconnelli,NA,29.7478,0.365711,0,0.143163,0
290000,Canis_adustus,Canis_simensis,35.9605,0.184468,0,0.24994,0
290000,Canis_adustus,Eucyon_davisi,32.4841,0.584638,0,0.430717,0
300000,Canis_adustus,Otarocyon_cooki,0,0.300198,0,0.35162,0
310000,Canis_adustus,Otarocyon_cooki,0,0.376796,0,0.346443,0
310000,Desmocyon_thomsoni,NA,18.426,0.00135267,0,0.171641,0
320000,Canis_adustus,Otarocyon_cooki,0,0.341978,0,0.300473,0
320000,Cynarctoides_emryi,Cynarctoides_gawanae,20.2227,0.309687,0,0.634123,0
320000,Phlaocyon_latidens,NA,18.2784,0.871718,0,0.624685,0
320000,Desmocyon_matthewi,NA,21.2127,0.255852,0,1.72437,0
320000,Vulpes_stenognathus,NA,32.7352,0.333229,0,0.276428,0
320000,Canis_adustus,Urocyon_cinereoargenteus,25.8814,0.534816,0,0.617281,0
330000,Canis_adustus,Otarocyon_cooki,0,0.378371,0,0.311766,0
340000,Canis_adustus,Otarocyon_cooki,0,0.421161,0,0.418311,0
340000,Osbornodon_fricki,Osbornodon_iamonensis,10.0857,0.48569,0,0.210586,0
340000,Cynarctoides_harlowi,NA,18.2824,0.135912,0,0.688022,0
350000,Canis_adustus,Otarocyon_cooki,0,0.293708,0,0.311508,0
350000,Canis_adustus,Cerdocyon_texanus,31.7385,0.527827,0,0.696643,0
360000,Canis_adustus,Otarocyon_cooki,0,0.328403,0,0.309949,0
370000,Canis_adustus,Otarocyon_cooki,0,0.342485,0,0.388063,0
380000,Canis_adustus,Otarocyon_cooki,0,0.349112,0,0.359051,0
380000,Otarocyon_cooki,Oxetocyon_cuspidatus,2.46251,0.103927,0,0.317625,0
380000,Canis_adustus,Cerdocyon_texanus,31.2492,0.506551,0,0.611139,0
390000,Canis_adustus,Otarocyon_cooki,0,0.322152,0,0.378227,0
400000,Canis_adustus,Otarocyon_cooki,0,0.357234,0,0.350201,0
410000,Canis_adustus,Otarocyon_cooki,0,0.38388,0,0.349874,0
420000,Canis_adustus,Otarocyon_cooki,0,0.325281,0,0.358419,0
420000,Canis_adustus,Leptocyon_douglassi,9.2275,0.470053,0,0.447991,0
430000,Canis_adustus,Otarocyon_cooki,0,0.360531,0,0.3259,0
430000,Otarocyon_cooki,NA,11.539,0.442457,0,0.466699,0
440000,Canis_adustus,Otarocyon_cooki,0,0.354991,0,0.321147,0
440000,Cynarctoides_accridens,NA,24.5254,0.0290304,0,0.168786,0
450000,Canis_adustus,Otarocyon_cooki,0,0.21448,0,0.236947,0
450000,Otarocyon_cooki,NA,12.2617,0.348142,0,0.807187,0
450000,Microtomarctus_conferta,NA,24.7106,0.118799,0,0.451006,0
450000,Borophagus_diversidens,Phlaocyon_leucosteus,12.6788,0.325217,0,0.343935,0
450000,Borophagus_diversidens,Archaeocyon_leptodus,6.33088,0.429207,0,0.141886,0
450000,Canis_adustus,Cerdocyon_texanus,31.8798,0.647844,0,0.830293,0
460000,Canis_adustus,Otarocyon_cooki,0,0.300478,0,0.298051,0
460000,Mesocyon_brachyops,NA,18.1473,0.228345,0,1.38753,0
470000,Canis_adustus,Otarocyon_cooki,0,0.343875,0,0.37044,0
480000,Canis_adustus,Otarocyon_cooki,0,0.325081,0,0.369499,0
490000,Canis_adustus,Otarocyon_cooki,0,0.379228,0,0.413911,0
500000,Canis_adustus,Otarocyon_cooki,0,0.378271,0,0.341917,0
500000,Canis_mesomelas,NA,38.7496,1.22619,0,1.63201,0
510000,Canis_adustus,Otarocyon_cooki,0,0.321917,0,0.373251,0
510000,Carpocyon_limosus,NA,28.6214,0.542038,0,1.06013,0
520000,Canis_adustus,Otarocyon_cooki,0,0.318408,0,0.411924,0
530000,Canis_adustus,Otarocyon_cooki,0,0.355388,0,0.376041,0
540000,Canis_adustus,Otarocyon_cooki,0,0.282841,0,0.337627,0
550000,Canis_adustus,Otarocyon_cooki,0,0.389304,0,0.30484,0
550000,Tephrocyon_rurestris,NA,24.0717,0.12161,0,0.179151,0
560000,Canis_adustus,Otarocyon_cooki,0,0.279465,0,0.3049,0
560000,Lycaon_pictus,Canis_etruscus,34.6616,0.463595,0,0.762719,0
570000,Canis_adustus,Otarocyon_cooki,0,0.403478,0,0.356541,0
580000,Canis_adustus,Otarocyon_cooki,0,0.362118,0,0.332663,0
580000,Aelurodon_stirtoni,NA,23.7424,0.0251711,0,0.648009,0
580000,Borophagus_diversidens,Borophagus_orc,28.5273,0.21043,0,0.398953,0
580000,Canis_latrans,Canis_palmidens,36.0123,1.01996,0,1.07306,0
590000,Canis_adustus,Otarocyon_cooki,0,0.331676,0,0.347311,0
600000,Canis_adustus,Otarocyon_cooki,0,0.404133,0,0.376325,0
610000,Canis_adustus,Otarocyon_cooki,0,0.387994,0,0.339883,0
620000,Canis_adustus,Otarocyon_cooki,0,0.331493,0,0.357528,0
620000,Borophagus_orc,NA,33.4508,0.354317,0,1.26876,0
630000,Canis_adustus,Otarocyon_cooki,0,0.332093,0,0.336884,0
630000,Canis_adustus,Eucyon_davisi,32.1205,0.792577,0,0.74236,0
640000,Canis_adustus,Otarocyon_cooki,0,0.389764,0,0.3553,0
650000,Canis_adustus,Otarocyon_cooki,0,0.424531,0,0.399396,0
660000,Canis_adustus,Otarocyon_cooki,0,0.313939,0,0.328408,0
660000,Microtomarctus_conferta,NA,22.3833,0.210341,0,0.536605,0
670000,Canis_adustus,Otarocyon_cooki,0,0.343699,0,0.353804,0
680000,Canis_adustus,Otarocyon_cooki,0,0.377759,0,0.328661,0
690000,Canis_adustus,Otarocyon_cooki,0,0.351115,0,0.360272,0
700000,Canis_adustus,Otarocyon_cooki,0,0.369686,0,0.341639,0
710000,Canis_adustus,Otarocyon_cooki,0,0.309209,0,0.32464,0
710000,Aelurodon_stirtoni,NA,24.5311,0.247576,0,0.445096,0
720000,Canis_adustus,Otarocyon_cooki,0,0.347133,0,0.294181,0
730000,Canis_adustus,Otarocyon_cooki,0,0.331055,0,0.344716,0
740000,Canis_adustus,Otarocyon_cooki,0,0.296373,0,0.323916,0
750000,Canis_adustus,Otarocyon_cooki,0,0.339744,0,0.405039,0
760000,Canis_adustus,Otarocyon_cooki,0,0.316927,0,0.349435,0
770000,Canis_adustus,Otarocyon_cooki,0,0.299387,0,0.316296,0
770000,Desmocyon_thomsoni,NA,21.5674,0.661033,0,0.597074,0
770000,Cerdocyon_texanus,NA,32.2204,0.130644,0,1.38089,0
770000,Canis_adustus,Cerdocyon_texanus,31.7232,0.628027,0,0.728038,0
780000,Canis_adustus,Otarocyon_cooki,0,0.336036,0,0.362339,0
780000,Phlaocyon_mariae,Phlaocyon_yatkolai,19.1298,0.502445,0,0.195322,0
780000,Canis_adustus,Leptocyon_vafer,25.1705,0.525521,0,0.443652,0
790000,Canis_adustus,Otarocyon_cooki,0,0.340409,0,0.329284,0
790000,Mesocyon_temnodon,NA,17.8844,0.469675,0,1.89615,0
790000,Borophagus_diversidens,Epicyon_haydeni,25.8216,0.284889,0,0.506972,0
790000,Canis_adustus,Cerdocyon_texanus,30.5433,0.451769,0,0.715366,0
800000,Canis_adustus,Otarocyon_cooki,0,0.327898,0,0.395745,0
810000,Canis_adustus,Otarocyon_cooki,0,0.324744,0,0.35188,0
820000,Canis_adustus,Otarocyon_cooki,0,0.43833,0,0.3792,0
830000,Canis_adustus,Otarocyon_cooki,0,0.39873,0,0.366524,0
840000,Canis_adustus,Otarocyon_cooki,0,0.380707,0,0.350978,0
840000,Carpocyon_robustus,NA,27.1984,0.298433,0,0.452214,0
850000,Canis_adustus,Otarocyon_cooki,0,0.364619,0,0.385152,0
860000,Canis_adustus,Otarocyon_cooki,0,0.378346,0,0.373271,0
860000,Mesocyon_coryphaeus,Cynodesmus_martini,14.936,0.221293,0,0.470116,0
870000,Canis_adustus,Otarocyon_cooki,0,0.340055,0,0.307512,0
870000,Canis_adustus,Eucyon_davisi,32.4423,0.85028,0,0.569444,0
880000,Canis_adustus,Otarocyon_cooki,0,0.316574,0,0.327457,0
890000,Canis_adustus,Otarocyon_cooki,0,0.261458,0,0.30163,0
890000,Borophagus_orc,NA,33.7804,0.951056,0,0.521611,0
890000,Canis_adustus,Vulpes_stenognathus,28.1048,0.348794,0,0.527747,0
