generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1,-2281.56,1,0.5,0
10000,0,-1.40835,191.396,1.40835,4.10705,0.274
20000,3,-3.74902,197.636,2.11706,4.24382,0.29
30000,1,-1.98995,192.837,0.643608,4.21287,0.282
40000,0,-0.264032,191.376,0.264032,4.12156,0.273
50000,0,-0.576477,192.005,0.576477,4.16964,0.288
60000,0,-0.00284944,191.381,0.00284944,4.37255,0.283
70000,1,-0.0964839,189.751,0.451242,4.17812,0.298
80000,0,-0.392006,191.163,0.392006,4.11403,0.277
90000,0,-0.258786,191.495,0.258786,4.33212,0.309
100000,1,-1.75864,195.217,1.00624,4.17746,0.327
110000,0,-0.371617,192.383,0.371617,4.15712,0.297
120000,0,-0.184387,191.718,0.184387,4.23571,0.296
130000,1,-2.06349,190.802,1.72588,4.17521,0.314
140000,0,-0.217384,189.761,0.217384,4.4427,0.278
150000,0,-0.404604,189.522,0.404604,4.3456,0.304
160000,2,-1.40228,192.951,1.20759,4.15406,0.316
170000,1,0.0774641,190.771,0.876033,4.3894,0.284
180000,0,-0.0213706,191.836,0.0213706,4.26328,0.275
190000,3,-3.68776,194.763,2.11305,4.02109,0.354
200000,0,-0.0996058,190.871,0.0996058,4.24631,0.259
210000,0,-1.2685,192.352,1.2685,4.26273,0.258
220000,0,-0.146796,192.304,0.146796,4.24686,0.232
230000,0,-0.00188716,192.029,0.00188716,4.24284,0.316
240000,0,-0.899959,192.311,0.899959,4.26255,0.271
250000,0,-1.16615,188.712,1.16615,4.46798,0.252
260000,2,-1.15446,197.373,0.370497,4.22801,0.348
270000,0,-0.0776495,190.731,0.0776495,4.09713,0.287
280000,2,-2.56325,198.364,0.780533,4.21356,0.305
290000,3,-2.11351,196.175,2.20702,4.1882,0.345
300000,0,-0.156462,190.846,0.156462,4.31596,0.281
310000,1,0.315044,193.37,0.613715,4.29214,0.338
320000,5,-8.88443,194.756,3.58277,4.36427,0.291
330000,0,-0.379497,190.756,0.379497,4.15102,0.294
340000,2,-1.7269,189.232,1.38813,4.23893,0.298
350000,1,-2.33038,197.96,1.29243,4.16024,0.33
360000,0,-0.14957,189.812,0.14957,4.03296,0.269
370000,0,-0.435455,191.523,0.435455,4.13731,0.261
380000,2,-1.90312,198.085,1.52874,4.18545,0.294
390000,0,-2.25777,191.717,2.25777,4.20034,0.288
400000,0,-0.622447,192.409,0.622447,4.26301,0.235
410000,0,-0.0340536,191.183,0.0340536,4.0988,0.305
420000,1,-0.863152,194.071,0.398352,4.2233,0.344
430000,1,-0.776227,192.177,0.328052,4.24573,0.271
440000,1,0.401694,191.516,0.480636,4.28548,0.319
450000,5,-5.33318,197.312,3.28357,4.25816,0.305
460000,1,-2.2791,191.211,0.509058,4.21096,0.297
470000,0,-0.234707,191.675,0.234707,4.09891,0.316
480000,0,-0.287359,191.921,0.287359,4.27216,0.291
490000,0,-0.131342,190.374,0.131342,4.21623,0.301
500000,1,-5.34751,193.03,1.2538,4.27287,0.245
510000,1,-3.57899,188.548,1.8346,4.29069,0.282
520000,0,-1.02504,189.611,1.02504,4.12648,0.32
530000,0,-0.937815,191.829,0.937815,4.1254,0.261
540000,0,-1.40772,189.812,1.40772,4.1469,0.277
550000,1,-0.0826826,188.745,0.772462,4.38368,0.251
560000,1,-1.28551,191.377,0.244111,3.92251,0.288
570000,0,-0.0487782,190.696,0.0487782,4.29239,0.274
580000,3,-3.35227,194.683,0.795498,4.14386,0.294
590000,0,-0.439862,191.367,0.439862,4.06957,0.301
600000,0,-0.266778,190.086,0.266778,4.09175,0.277
610000,0,-0.0863231,190.4,0.0863231,4.37349,0.279
620000,1,-2.26846,192.87,0.484954,4.13937,0.267
630000,1,-1.84137,197.588,0.222718,4.20508,0.303
640000,0,-0.188745,191.505,0.188745,4.26727,0.318
650000,0,-0.064686,188.932,0.064686,4.25538,0.297
660000,1,-0.988798,190.739,0.844023,4.38365,0.279
670000,0,-0.1392,191.845,0.1392,4.34119,0.268
680000,0,-0.28794,190.753,0.28794,4.07891,0.326
690000,0,-0.69735,192.093,0.69735,4.12337,0.257
700000,0,-0.904204,192.183,0.904204,4.2418,0.261
710000,1,-1.18001,191.749,1.13675,4.18865,0.279
720000,0,-0.0887316,189.672,0.0887316,4.07929,0.322
730000,0,-0.393206,192.437,0.393206,4.21822,0.27
740000,0,-0.429327,190.688,0.429327,4.16135,0.324
750000,0,-0.167454,190.403,0.167454,4.33011,0.268
760000,0,-0.866515,192.037,0.866515,4.24669,0.29
770000,3,-5.6373,196.623,1.67747,4.02654,0.316
780000,2,-2.72646,194.51,2.11324,4.18477,0.339
790000,3,-5.69305,196.189,1.36079,4.08991,0.296
800000,0,-0.493758,191.053,0.493758,4.27617,0.254
