species	first.int	last.int
Parahippus_leonensis	2	2
Merychippus_gunteri	3	6
Merychippus_primus	3	3
Acritohippus_stylodontus	5	5
Acritohippus_tertius	3	3
Acritohippus_isonesus	5	5
Acritohippus_quinni	3	6
Parapliohippus_carrizoensis	3	5
Pliohippus_mirabilis	6	6
Pliohippus_fossulatus	8	8
Pliohippus_tantalus	7	7
Pliohippus_nobilis	12	13
Pliohippus_pernix	8	10
Heteropliohippus_hulberti	7	7
Pliohippus_tehonensis	8	9
Astrohippus_ansae	15	15
Astrohippus_stockii	15	15
Dinohippus_leardi	7	7
Dinohippus_galushai	14	15
Hippidion_saldiasi	23	23
Hippidion_principale	22	23
Hippidion_devillei	21	23
Dinohippus_interpolatus	14	15
Dinohippus_leidyanus	13	15
Dinohippus_mexicanus	14	14
Equus_simplicidens	17	17
Equus_scotti	18	18
Equus_francisci	19	19
Equus_alaskae	18	19
Equus_mexicanus	19	19
Equus_insulatus	22	24
Equus_santaeelenae	24	24
Equus_neogeus	24	24
Equus_andium	24	24
Equus_yunnanensis	36	36
Equus_wangi	40	40
Equus_huanghoensis	40	40
Equus_qingyangensis	41	41
Equus_teilhardi	41	41
Equus_sanmeniensis	40	40
Equus_major	34	40
Equus_suessenbornensis	42	42
Equus_taubachensis	43	43
Equus_gallicus	44	44
Equus_ferus	45	45
Equus_mosbachensis	46	46
Equus_przewalskii	45	45
Equus_dalianensis	43	43
Equus_beijingensis	47	47
Equus_livenzovensis	34	34
Equus_stenonis	36	36
Equus_senezensis	36	36
Equus_altidens	42	42
Equus_hydruntinus	51	51
Equus_tabeti	48	48
Equus_melkiensis	49	49
Equus_koobiforensis	38	38
Equus_kiang	45	45
Equus_oldowayensis	38	38
Equus_grevyi	45	45
Equus_numidicus	38	38
Equus_africanus	45	45
Equus_hemionus	45	45
Equus_zebra	45	45
Equus_mauritanicus	50	50
Equus_quagga	45	45
Merychippus_sejunctus	5	5
Merychippus_intermontanus	5	6
Protohippus_vetus	5	8
Protohippus_perditus	6	6
Protohippus_supremus	6	7
Protohippus_gidleyi	27	30
Calippus_proplacidus	6	6
Calippus_placidus	7	7
Calippus_elachistus	10	13
Calippus_regulus	6	8
Calippus_circulus	6	6
Calippus_martini	8	9
Calippus_cerasinus	10	10
Calippus_hondurensis	12	13
Calippus_maccartyi	13	13
Merychippus_coloradensis	5	8
Merychippus_republicanus	5	5
Neohipparion_affine	6	10
Neohipparion_trampasense	10	12
Neohipparion_leptode	12	15
Neohipparion_gidleyi	12	15
Neohipparion_eurystyle	12	15
Pseudhipparion_retrusum	6	6
Pseudhipparion_curtivallum	8	9
Pseudhipparion_hessei	9	9
Pseudhipparion_gratum	9	9
Pseudhipparion_skinneri	10	12
Pseudhipparion_simpsoni	15	15
Hipparion_shirleyi	6	6
Hipparion_tehonense	7	7
Hipparion_forcei	8	12
Merychippus_insignis	5	5
Merychippus_californicus	6	6
Merychippus_brevidontus	4	4
Merychippus_goorisi	5	5
Nannippus_morgani	12	13
Nannippus_westoni	10	12
Nannippus_lenticularis	12	15
Nannippus_aztecus	10	15
Nannippus_peninsulatus	16	16
Nannippus_beckensis	17	17
Cormohipparion_sphenodus	5	6
Cormohipparion_plicatile	10	12
Cormohipparion_ingenuum	8	12
Cormohipparion_emsliei	13	16
Cormohipparion_quinni	6	6
Cormohipparion_occidentale	9	12
Hippotherium_primigenium	25	28
Hippotherium_laromae	27	29
Hipparion_coelophyes	27	31
Hipparion_hippidiodus	30	30
Hipparion_platyodus	31	31
Eurygnathohippus_cornelianus	38	38
Plesiohipparion_rocinantis	34	34
Plesiohipparion_turkanense	31	33
Hipparion_antelopinum	30	30
Plesiohipparion_houfenense	34	34
Proboscidipparion_pater	33	33
Proboscidipparion_sinense	34	36
Eurygnathohippus_afarense	34	34
Eurygnathohippus_libycum	34	37
Hipparion_prostylum	29	30
Cremohipparion_proboscidium	28	28
Cremohipparion_mediterraneum	29	30
Cremohipparion_licenti	33	33
Cremohipparion_forstenae	27	30
Cremohipparion_mathewi	31	31
Cremohipparion_periafricanum	31	31
Hipparion_fissurae	33	33
Hipparion_longipes	33	33
Hipparion_concudense	27	30
Hipparion_crassum	39	39
