generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
9760001,Rhea_americana,Cyrtonyx_montezumae,0,0.0522938,0.000787124,0.00359906,0
9760001,Amandava_amandava,Nigrita_bicolor,99.1002,1.50656,-0.148499,0.249694,0
9760001,Falco_naumanni,Falco_sparverius,99.4309,0.436402,-0.0880838,0.135825,0
9760001,Neophema_petrophila,Neophema_elegans,108.701,0.481233,0.00890038,0.0630491,0
9760001,Myrmecocichla_cinnamomeiventris,Phoenicurus_moussieri,99.6081,1.06963,-0.179383,0.0258475,0
9760001,Emberiza_impetuani,Xanthocephalus_xanthocephalus,100.444,0.741227,-0.123819,0.0124303,0
9760001,Melanerpes_erythrocephalus,Dinopium_shorii,96.5052,0.662258,-0.101946,0.0164515,0
9760001,Kaupifalco_monogrammicus,Sarcogyps_calvus,82.2245,0.412967,-0.0380271,0.0989046,0
9760001,Acrocephalus_stentoreus,Acrocephalus_familiaris,110.627,1.264,-0.195629,0.0976076,0
9760001,Sporophila_hypoxantha,Sporophila_melanogaster,111.83,2.36165,0.0798563,0.34725,0
9760001,Zosterops_chloris,Zosterops_montanus,109.942,1.98321,-0.639521,0.0697881,0
9760001,Anas_strepera,Anas_puna,101.406,0.287458,0.0549317,0.246051,0
9760001,Pachycephala_melanura,Pachycephala_phaionota,101.118,1.86913,-0.291458,0.0552364,0
9760001,Leucopternis_occidentalis,Geranoaetus_melanoleucus,105.313,0.381271,-0.015137,0.00454919,0
9760001,Scenopoeetes_dentirostris,Amytornis_textilis,57.6429,0.25793,-0.0287192,0.0141864,0
9760001,Alcedo_vintsioides,Lacedo_pulchella,85.412,0.440309,-0.0520245,0.0366924,0
9760001,Platyspiza_crassirostris,Certhidea_olivacea,111.003,2.88958,-0.00991463,1.10579,0
9760001,Pyrrhura_griseipectus,Pyrrhura_cruentata,106.825,0.381606,0.161189,0.665277,0
9760001,Primolius_couloni,Primolius_maracana,107.304,0.169544,0.371812,0.365179,0
9760001,Sialia_currucoides,Sialia_sialis,98.8771,0.0188595,0.246915,0.188977,0
9760001,Aythya_nyroca,Netta_rufina,107.36,0.727169,-0.0520037,0.0834255,0
9760001,Otus_ireneae,Strix_varia,75.512,0.501801,-0.0508345,0.0136462,0
9760001,Cyrtonyx_montezumae,Agelastes_meleagrides,84.8856,0.152256,0.00168843,0.0269404,0
9760001,Malacorhynchus_membranaceus,Anas_strepera,85.8959,0.271816,-0.0203283,0.144612,0
9760001,Vidua_fischeri,Vidua_hypocherina,100.083,0.330195,0.0176861,0.254838,0
9760001,Turdus_lherminieri,Ficedula_nigrorufa,89.3655,1.54473,-0.136876,0.00812803,0
9760001,Amazona_vittata,Amazona_farinosa,102.68,0.612741,-0.101698,0.14649,0
9760001,Larus_crassirostris,Larus_philadelphia,106.69,1.73264,-0.176464,0.196329,0
9760001,Phoebastria_immutabilis,Thalassarche_impavida,80.2959,0.0784126,0.0389917,0.0676966,0
9760001,Rhodopechys_obsoletus,Carduelis_hornemanni,102.544,1.53828,-0.225418,0.12006,0
9760001,Ploceus_benghalensis,Ploceus_cucullatus,99.0744,0.206728,0.0290193,0.0673107,0
9760001,Dumetella_carolinensis,Aplonis_cantoroides,91.2578,0.535533,-0.0475154,0.0747089,0
9760001,Claravis_pretiosa,Patagioenas_plumbea,81.0474,0.342041,-0.0540672,0.0306399,0
9760001,Carduelis_cucullata,Carduelis_barbata,111.581,1.09529,-0.145371,0.0734148,0
