generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.01,0,0.009,0
10000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.104028,0,0.0714828,0
20000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0859376,0,0.0426954,0
30000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.103683,0,0.0563811,0
40000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.106838,0,0.0640923,0
40000,Taricha_torosa,NA,73.6588,0.29454,0,0.123935,0
50000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.116306,0,0.0532487,0
60000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.104758,0,0.0707347,0
70000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.105187,0,0.0497307,0
70000,Euproctus_montanus,NA,73.7568,0.32559,0,0.440316,0
70000,Lyciasalamandra_antalyana,NA,74.5383,0.354505,0,0.00298794,0
80000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.119022,0,0.0637527,0
80000,Lissotriton_helveticus,NA,68.9599,0.0651529,0,0.26007,0
80000,Notophthalmus_meridionalis,Notophthalmus_robustus,39.6392,0.150543,0,0.0723401,0
90000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.122478,0,0.0802113,0
100000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.079091,0,0.034586,0
110000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0957606,0,0.0391061,0
120000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0958894,0,0.0663187,0
130000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.114461,0,0.071524,0
130000,Taricha_granulosa,NA,73.5068,0.00217391,0,0.254959,0
140000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.137183,0,0.0909321,0
150000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.109897,0,0.0755997,0
150000,Lissotriton_italicus,Lissotriton_boscai,50.4608,0.0977236,0,0.039469,0
160000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.106105,0,0.0543676,0
170000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.111915,0,0.0587736,0
170000,Euproctus_platycephalus,NA,60.1671,0.0488673,0,0.0358252,0
180000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.160201,0,0.11686,0
190000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.102696,0,0.0521037,0
200000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.111462,0,0.0560775,0
200000,Chioglossa_lusitanica,NA,51.2275,0.0776735,0,0.136903,0
