generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.01,0,0.009,0
5000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0961082,0,0.0264494,0
10000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0698813,0,0.00629737,0
15000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0898141,0,0.0400457,0
20000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0705471,0,0.0116996,0
20000,Salamandrina_perspicillata,Salamandrina_terdigitata,43.9522,0.0953082,0,0.151702,0
25000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0657658,0,0.00474119,0
30000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0682525,0,0.00203225,0
30000,Salamandrina_perspicillata,NA,67.1169,0.200441,0,0.0263969,0
30000,Salamandrina_perspicillata,Salamandrina_terdigitata,28.4262,0.12418,0,0.243164,0
30000,Paramesotriton_caudopunctatus,NA,67.8755,0.0479918,0,0.0365651,0
35000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0739384,0,0.00189593,0
35000,Lyciasalamandra_luschani,NA,73.3057,0.108331,0,0.11273,0
40000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0634271,0,0.00929196,0
45000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.060709,0,0.0109457,0
50000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0733508,0,0.00365651,0
55000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0824026,0,0.0100193,0
60000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.122053,0,0.0675041,0
65000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0843868,0,0.0273327,0
70000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0792626,0,0.0118296,0
75000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0852177,0,0.0193605,0
80000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0878723,0,0.0218181,0
85000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0809667,0,0.0168311,0
90000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0747466,0,0.0113769,0
95000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0814104,0,0.0327053,0
100000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0744688,0,0.000850023,0
105000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0793435,0,0.0239831,0
110000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0684376,0,0.00749751,0
115000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0845323,0,0.0386811,0
120000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0927322,0,0.0530124,0
125000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0719957,0,0.0107361,0
130000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.107564,0,0.0539984,0
135000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.08305,0,0.032075,0
140000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.073336,0,0.00454781,0
145000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0698668,0,0.00640478,0
150000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0876713,0,0.0372903,0
155000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0894491,0,0.0227784,0
160000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0677138,0,0.000226712,0
160000,Salamandrina_perspicillata,Salamandrina_terdigitata,4.97507,0.0166656,0,0.0390134,0
165000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0952394,0,0.0379606,0
170000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0692036,0,0.00344469,0
175000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0725547,0,0.0219387,0
180000,Salamandrina_perspicillata,Mertensiella_caucasica,0,0.0447288,0,0.0158134,0
180000,Lissotriton_helveticus,NA,60.0947,0.136386,0,0.0215985,0
180000,Mertensiella_caucasica,Pleurodeles_waltl,6.19007,0.0740672,0,0.00236983,0
