generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.35195,-377.702,0.505055,1
5000,0,0.744075,-284.285,0.681241,0.405
10000,0,1.12835,-282.16,0.490304,0.424
15000,0,1.36698,-283.649,0.0278955,0.406
20000,1,1.63399,-280.194,0.865893,0.411
25000,0,0.71391,-282.301,0.928383,0.437
30000,3,2.20882,-281.212,2.41365,0.392
35000,1,1.19043,-282.971,1.44435,0.365
40000,0,1.17823,-283.079,0.45484,0.415
45000,0,0.970848,-283.969,0.666661,0.429
50000,0,1.08645,-282.22,0.528747,0.411
55000,0,1.24004,-283.002,0.310899,0.415
60000,0,0.818037,-286.558,0.327988,0.424
65000,0,0.686617,-282.951,0.78388,0.401
70000,0,1.12313,-282.545,0.433356,0.418
75000,0,1.31637,-282.969,0.183894,0.354
80000,0,1.40076,-283.21,0.0781905,0.382
85000,0,1.28248,-282.624,0.246053,0.4
90000,0,1.28751,-282.301,0.289687,0.416
95000,0,0.396843,-283.423,1.06366,0.43
100000,0,1.37225,-282.409,0.249984,0.409
105000,0,1.16661,-282.806,0.338871,0.409
110000,0,1.36683,-282.278,0.252838,0.386
115000,0,-0.954278,-283.813,2.37686,0.417
120000,0,1.06658,-284.854,0.262079,0.418
125000,0,1.50566,-282.292,0.0856683,0.385
130000,0,1.25386,-284.926,0.00886505,0.381
135000,0,1.29492,-283.253,0.161377,0.444
140000,0,1.4061,-282.207,0.205447,0.389
145000,0,1.01641,-282.164,0.60185,0.366
150000,0,1.31944,-283.494,0.0958595,0.439
155000,0,0.350586,-283.383,1.11779,0.43
160000,1,1.29672,-279.257,2.06037,0.396
165000,0,1.21736,-283.741,0.163591,0.409
170000,0,1.36684,-282.082,0.266526,0.395
175000,0,0.754654,-283.172,0.787651,0.408
180000,2,2.94551,-280.768,1.63353,0.41
185000,1,1.17078,-281.791,1.23575,0.388
190000,0,0.362343,-282.444,1.20976,0.324
195000,0,1.41203,-282.326,0.247798,0.419
200000,0,1.48103,-284.223,0.0848934,0.418
205000,0,0.879435,-282.497,0.674811,0.403
210000,0,0.7324,-282.162,0.904728,0.377
215000,0,1.34747,-282.245,0.259689,0.391
220000,0,1.14632,-283.976,0.26806,0.401
225000,0,0.718643,-282.883,0.869723,0.357
230000,0,1.10311,-282.497,0.436941,0.431
235000,0,0.738406,-282.366,0.826981,0.394
240000,2,4.15798,-283.546,0.362238,0.414
245000,0,0.566826,-283.778,0.906004,0.407
250000,0,1.47125,-282.11,0.161898,0.371
255000,0,1.32637,-284.604,0.117473,0.415
260000,0,1.01408,-282.053,0.644215,0.4
265000,0,0.282609,-285.86,1.06232,0.332
270000,0,1.57774,-282.243,0.0502397,0.383
275000,0,1.54015,-282.321,0.0853252,0.378
280000,0,1.28265,-282.622,0.379931,0.409
285000,0,1.29627,-282.143,0.328727,0.374
290000,1,2.75952,-280.719,0.339557,0.398
295000,0,0.374139,-283.734,1.12196,0.388
300000,0,1.17979,-282.374,0.425814,0.409
305000,0,0.451791,-282.64,1.10526,0.386
310000,0,1.43832,-282.667,0.0760382,0.415
315000,0,0.489598,-282.443,1.09794,0.375
320000,0,1.5094,-282.596,0.0481147,0.408
325000,0,-0.293477,-282.356,1.86579,0.45
330000,0,0.927528,-283.124,0.559496,0.381
335000,0,1.2498,-283.909,0.125412,0.35
340000,0,1.11276,-283.32,0.331307,0.401
345000,0,1.04552,-283.119,0.469757,0.417
350000,0,1.48975,-282.11,0.145379,0.404
355000,0,0.481657,-283.322,0.942044,0.388
360000,0,0.894974,-284.954,0.638161,0.397
365000,1,0.397094,-284.21,0.837725,0.403
370000,0,0.0908408,-283.187,1.38868,0.391
375000,0,0.540204,-282.842,0.967231,0.415
380000,2,-1.27622,-279.219,0.510913,0.426
385000,0,1.56675,-282.781,0.0353812,0.402
390000,0,1.58241,-283.094,0.04905,0.391
395000,0,0.188488,-283.869,1.18001,0.401
400000,0,1.52833,-282.53,0.0116711,0.416
405000,0,1.22489,-282.671,0.407313,0.403
410000,0,1.13613,-282.314,0.498928,0.434
415000,0,1.59643,-282.176,0.030927,0.394
420000,0,1.49908,-282.481,0.045229,0.395
425000,0,1.61299,-282.576,0.0306364,0.395
430000,0,1.057,-283.722,0.329638,0.384
435000,1,2.56061,-280.007,0.376165,0.438
440000,0,1.43182,-282.433,0.167945,0.433
445000,0,1.42749,-282.073,0.209931,0.436
450000,0,0.850795,-283.051,0.613701,0.424
455000,1,3.2875,-279.775,0.133519,0.444
460000,1,1.89737,-283.021,0.889095,0.425
465000,0,1.45404,-282.492,0.167445,0.405
470000,0,0.998618,-283.265,0.541025,0.413
475000,0,1.30267,-283.784,0.0660435,0.396
480000,0,0.995258,-283.038,0.515281,0.412
485000,0,1.0754,-282.624,0.525105,0.414
490000,1,1.27106,-285.101,0.562691,0.373
495000,0,0.758902,-283.723,0.819278,0.396
500000,0,1.35107,-282.898,0.258405,0.386
505000,1,0.280304,-279.897,1.67567,0.403
510000,0,0.961443,-282.333,0.665384,0.381
515000,0,0.888864,-282.444,0.683128,0.408
520000,0,0.615234,-282.457,0.990281,0.411
525000,4,0.956364,-282.402,3.62922,0.44
530000,0,0.506749,-282.953,1.01278,0.43
535000,5,-0.601247,-290.471,2.24446,0.423
540000,1,1.06761,-280.928,0.364857,0.422
545000,0,1.16472,-283.249,0.30794,0.398
550000,0,0.226703,-283.304,1.34365,0.414
555000,0,0.664773,-282.463,0.914765,0.432
560000,1,2.11814,-283.86,0.587771,0.451
565000,0,1.39593,-283.044,0.0642126,0.418
570000,0,1.50765,-283.445,0.121192,0.387
575000,0,1.22033,-286.243,0.432418,0.405
