generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1,-647.669,1,0.021928,0
10000,0,-0.343354,-524.598,0.343354,0.0106442,0.34
20000,0,-0.297857,-524.54,0.297857,0.0139413,0.396
30000,0,-0.89885,-523.308,0.89885,0.0141624,0.312
40000,1,-0.204935,-523.901,1.29674,0.0103418,0.38
50000,0,-0.300055,-525.444,0.300055,0.0102485,0.394
60000,0,-0.253257,-524.106,0.253257,0.0120266,0.39
70000,2,-1.06567,-525.033,2.12627,0.0103287,0.384
80000,2,0.994936,-525.376,2.32107,0.0117118,0.34
90000,0,-0.0362634,-523.869,0.0362634,0.0133198,0.361
100000,0,-0.8148,-525.732,0.8148,0.0148701,0.365
110000,0,-0.415472,-524.335,0.415472,0.0128969,0.338
120000,0,-0.87487,-526.419,0.87487,0.0165039,0.368
130000,1,-1.43223,-523.599,3.15656,0.0126953,0.396
140000,0,-0.404316,-524.535,0.404316,0.0119021,0.366
150000,1,-0.308334,-523.566,2.50289,0.013355,0.379
160000,0,-0.0683306,-523.491,0.0683306,0.0146522,0.334
170000,1,1.0206,-523.483,1.37977,0.010217,0.376
180000,0,-0.119555,-526.871,0.119555,0.0110386,0.358
190000,0,-0.298164,-524.512,0.298164,0.00969971,0.346
200000,1,1.37962,-524.307,0.511558,0.0119885,0.405
210000,0,-0.340967,-526.448,0.340967,0.00805875,0.351
220000,0,-0.129868,-526.346,0.129868,0.0198438,0.354
230000,1,1.46479,-522.939,1.06972,0.0134804,0.383
240000,1,-0.470394,-524.99,1.08099,0.0141108,0.361
250000,0,-0.115955,-523.848,0.115955,0.0124194,0.431
260000,1,1.48147,-525.535,0.661144,0.0154554,0.378
270000,1,0.897332,-524.19,1.45022,0.0120802,0.439
280000,0,-0.748413,-525.009,0.748413,0.00993847,0.346
290000,0,-0.941801,-525.792,0.941801,0.0147914,0.363
300000,0,-0.00310938,-523.691,0.00310938,0.0142997,0.333
310000,0,-0.15182,-524.207,0.15182,0.0108948,0.382
320000,0,-1.27737,-524.393,1.27737,0.013637,0.367
330000,0,-0.16688,-523.203,0.16688,0.0133469,0.36
340000,0,-1.11456,-523.957,1.11456,0.0127508,0.362
350000,1,-0.147304,-526.835,0.884008,0.0170895,0.352
360000,0,-0.512972,-525.259,0.512972,0.0185476,0.381
370000,0,-0.473298,-523.532,0.473298,0.0139674,0.328
380000,2,0.730554,-524.089,0.473155,0.0119451,0.352
390000,0,-0.703343,-523.965,0.703343,0.0110151,0.361
400000,2,0.777197,-527.178,0.943425,0.017768,0.349
410000,0,-0.21182,-523.842,0.21182,0.0120679,0.379
420000,0,-0.0883735,-528.616,0.0883735,0.00904096,0.36
430000,0,-0.623472,-524.909,0.623472,0.00927128,0.38
440000,0,-0.211618,-524.529,0.211618,0.0173271,0.382
450000,0,-0.299196,-523.274,0.299196,0.0135965,0.401
460000,0,-0.484746,-525.506,0.484746,0.0185131,0.349
470000,0,-2.33417,-524.295,2.33417,0.00960466,0.403
480000,1,0.105329,-524.416,1.39833,0.0145065,0.402
490000,0,-1.00592,-523.409,1.00592,0.0141159,0.4
500000,0,-0.0206377,-524.331,0.0206377,0.0110304,0.387
510000,0,-1.11724,-525.298,1.11724,0.0104213,0.407
520000,2,4.0872,-525.349,0.68523,0.00981595,0.341
530000,1,0.472693,-524.084,1.85313,0.0103422,0.397
540000,0,-0.849076,-524.284,0.849076,0.0154514,0.376
550000,1,1.15129,-524.274,0.699234,0.0125037,0.359
560000,1,0.17317,-524.786,0.93669,0.0114071,0.411
570000,0,-0.409805,-526.222,0.409805,0.00813976,0.368
580000,1,1.41126,-527.23,0.485744,0.00930677,0.373
590000,0,-0.330657,-524.341,0.330657,0.015965,0.354
600000,0,-0.00141881,-526.383,0.00141881,0.00933789,0.377
610000,0,-0.164219,-524.968,0.164219,0.0140286,0.332
620000,0,-0.6412,-525.002,0.6412,0.00911996,0.382
630000,1,0.996966,-523.998,0.305545,0.0110526,0.358
640000,0,-0.344791,-523.687,0.344791,0.0103361,0.374
650000,0,-0.390744,-523.76,0.390744,0.0131173,0.355
660000,0,-0.442871,-525.869,0.442871,0.015618,0.38
670000,0,-0.0499303,-524.047,0.0499303,0.0163028,0.377
680000,0,-0.00105612,-526.192,0.00105612,0.00796459,0.354
690000,3,5.11117,-528.721,1.07239,0.0146176,0.353
700000,1,-2.05948,-528.079,0.824617,0.0140983,0.372
710000,0,-1.16236,-523.486,1.16236,0.014306,0.414
720000,0,-0.721905,-525.084,0.721905,0.0125189,0.354
730000,0,-0.244011,-524.333,0.244011,0.0127661,0.379
740000,0,-0.190553,-524.89,0.190553,0.0135359,0.351
750000,1,-1.83743,-522.977,2.72307,0.0125467,0.402
760000,1,-0.139508,-524.43,0.684373,0.0145117,0.355
770000,0,-0.0378757,-524.009,0.0378757,0.0141832,0.37
780000,0,-0.65084,-524.34,0.65084,0.0133796,0.37
790000,0,-2.34822,-524.027,2.34822,0.0120835,0.365
800000,2,1.1796,-526.239,2.11455,0.0124397,0.342
810000,1,0.510297,-524.445,0.969999,0.0129874,0.356
820000,1,0.793364,-523.421,0.216454,0.0129168,0.356
830000,0,-1.30244,-524.704,1.30244,0.0123278,0.395
840000,1,1.04874,-525.644,0.709605,0.0121183,0.388
850000,0,-3.00531,-525.35,3.00531,0.0164179,0.37
860000,0,-0.00108769,-523.289,0.00108769,0.0140325,0.319
870000,0,-0.287324,-525.311,0.287324,0.0116397,0.365
880000,0,-0.487198,-523.398,0.487198,0.0124678,0.325
890000,0,-0.423794,-525.017,0.423794,0.0169321,0.367
900000,1,2.24125,-522.683,0.209685,0.0134593,0.42
910000,0,-0.202082,-524.263,0.202082,0.0135528,0.352
920000,0,-0.794911,-523.199,0.794911,0.0132233,0.365
